Section,Heading,Clause,Heading
370,Procedure in case of difference of opinion,411,Procedure in case of difference of opinion
371,Procedure in cases submitted to High Court for confirmation,412,Procedure in cases submitted to High Court for confirmation
372,No appeal to lie unless otherwise provided,413,No appeal to lie unless otherwise provided
373,Appeal from orders requiring security or refusal to accept or rejecting surety for keeping peace or good behaviour,414,Appeal from orders requiring security or refusal to accept or rejecting surety for keeping peace or good behaviour
374,Appeals from convictions,415,Appeals from convictions
375,No appeal in certain cases when accused pleads guilty,416,No appeal in certain cases when accused pleads guilty
376,No appeal in petty cases,417,No appeal in petty cases
377,Appeal by the State Government against sentence,418,Appeal by the State Government against sentence
378,Appeal in case of acquittal,419,Appeal in case of acquittal
379,Appeal against conviction by High Court in certain cases,420,Appeal against conviction by High Court in certain cases
380,Special right of appeal in certain cases,421,Special right of appeal in certain cases
381,Appeal to Court of Session how heard,422,Appeal to Court of Session how heard
382,Petition of appeal,423,Petition of appeal
383,Procedure when appellant in jail,424,Procedure when appellant in jail
384,Summary dismissal of appeal,425,Summary dismissal of appeal
385,Procedure for hearing appeals not dismissed summarily,426,Procedure for hearing appeals not dismissed summarily
386,Powers of the Appellate Court,427,Powers of the Appellate Court
387,Judgments of subordinate Appellate Court,428,Judgments of Subordinate Appellate Court
388,Order of High Court on appeal to be certified to lower Court,429,Order of High Court on appeal to be certified to lower Court
389,Suspension of sentence pending the appeal; release of appellant on bail,430,Suspension of sentence pending the appeal; release of appellant on bail
390,Arrest of accused in appeal from acquittal,431,Arrest of accused in appeal from acquittal
391,Appellate Court may take further evidence or direct it to be taken,432,Appellate Court may take further evidence or direct it to be taken
392,Procedure where Judges of Court of Appeal are equally divided,433,Procedure where Judges of Court of Appeal are equally divided
393,Finality of judgments and orders on appeal,434,Finality of judgments and orders on appeal
394,Abatement of appeals,435,Abatement of appeals
395,Reference to High Court,436,Reference to High Court
396,Disposal of case according to decision of High Court,437,Disposal of case according to decision of High Court
397,Calling for records to exercise powers of revision,438,Calling for records to exercise powers of revision
398,Power to order inquiry,439,Power to order inquiry
399,Sessions Judge’s powers of revision,440,Sessions Judge’s powers of revision
400,Power of Additional Sessions Judge,441,Power of Additional Sessions Judge
401,High Court’s powers of revision,442,High Court’s powers of revision
402,Power of High Court to withdraw or transfer revision cases,443,Power of High Court to withdraw or transfer revision cases
403,Option of Court to hear parties,444,Option of Court to hear parties
404,Statement by Metropolitan Magistrate of grounds of his decision to be considered by High Court,445,Statement by Magistrate of grounds of his decision to be considered by High Court
405,High Court’s order to be certified to lower Court,446,High Court’s order to be certified to lower Court
406,Power of Supreme Court to transfer cases and appeals,447,Power of Supreme Court to transfer cases and appeals
407,Power of High Court to transfer cases and appeals,448,Power of High Court to transfer cases and appeals
408,Power of Sessions Judge to transfer cases and appeals,449,Power of Sessions Judge to transfer cases and appeals
409,Withdrawal of cases and appeals by Sessions Judges,450,Withdrawal of cases and appeals by Session Judge
410,Withdrawal of cases by Judicial Magistrates,451,Withdrawal of cases by Judicial Magistrate
411,Making over or withdrawal of cases by Executive Magistrates,452,Making over or withdrawal of cases by Executive Magistrates
412,Reasons to be recorded,453,Reasons to be recorded
413,Execution of order passed under section 368,454,Execution of order passed under section 410
414,Execution of sentence of death passed by High Court,455,Execution of sentence of death passed by High Court
415,Postponement of execution of sentence of death in case of appeal to Supreme Court,456,Postponement of execution of sentence of death in case of appeal to Supreme Court
416,Postponement of capital sentence on pregnant woman,457,Postponement of capital sentence on pregnant woman
417,Power to appoint place of imprisonment,458,Power to appoint place of imprisonment
418,Execution of sentence of imprisonment,459,Execution of sentence of imprisonment
419,Direction of warrant for execution,460,Direction of warrant for execution
420,Warrant with whom to be lodged,461,Warrant with whom to be lodged
421,Warrant for levy of fine,462,Warrant for levy of fine
422,Effect of such warrant,463,Effect of such warrant
423,Warrant for levy of fine issued by a Court in any territory to which this Code does not extend,464,Warrant for levy of fine issued by a Court in any territory to which this Sanhita does not extend
424,Suspension of execution of sentence of imprisonment,465,Suspension of execution of sentence of imprisonment
425,Who may issue warrant,466,Who may issue warrant
426,Sentence on escaped convict when to take effect,467,Sentence on escaped convict when to take effect
427,Sentence on offender already sentenced for another offence,468,Sentence on offender already sentenced for another offence
428,Period of detention undergone by the accused to be set off against the sentence of imprisonment,469,Period of detention undergone by the accused to be set off against the sentence of imprisonment
429,Saving,470,Saving
430,Return of warrant on execution of sentence,471,Return of warrant on execution of sentence
431,Money ordered to be paid recoverable as a fine,472,Money ordered to be paid recoverable as a fine
432,Power to suspend or remit sentences,474,Power to suspend or remit sentences
433,Power to commute sentence,475,Power to commute sentence
433A,Restriction on powers of remission or commutation in certain cases,476,Restriction on powers of remission or commutation in certain cases
434,Concurrent power of Central Government in case of death sentences,477,Concurrent power of Central Government in case of death sentences
435,State Government to act after consultation with Central Government in certain cases,478,State Government to act after concurrence with Central Government in certain cases
436,In what cases bail to be taken,480,In what cases bail to be taken
436A,Maximum period for which an undertrial prisoner can be detained,481,Maximum period for which an undertrial prisoner can be detained
437,When bail may be taken in case of non-bailable offence,482,When bail may be taken in case of non-bailable offence
437A,Bail to require accused to appear before next Appellate Court,483,Bail to require accused to appear before next appellate Court
438,Direction for grant of bail to person apprehending arrest,484,Direction for grant of bail to person apprehending arrest
439,Special powers of High Court or Court of Session regarding bail,485,Special powers of High Court or Court of Session regarding bail
440,Amount of bond and reduction thereof,486,Amount of bond and reduction thereof
441,Bond of accused and sureties,487,Bond of accused and sureties
441A,Declaration by sureties,488,Declaration by sureties
442,Discharge from custody,489,Discharge from custody
443,Power to order sufficient bail when that first taken is insufficient,490,Power to order sufficient bail when that first taken is insufficient
444,Discharge of sureties,491,Discharge of sureties
445,Deposit instead of recognizance,492,Deposit instead of recognizance
446,Procedure when bond has been forfeited,493,Procedure when bond has been forfeited
446A,Cancellation of bond and bail-bond,494,Cancellation of bond and bail bond
447,Procedure in case of insolvency or death of surety or when a bond is forfeited,495,Procedure in case of insolvency of death of surety or when a bond is forfeited
448,Bond required from minor,496,Bond required from minor
449,Appeal from orders under section 446,497,Appeal from orders under section 446
450,Power to direct levy of amount due on certain recognizances,498,Power to direct levy of amount due on certain recognizances
451,Order for custody and disposal of property pending trial in certain cases,499,Order for custody and disposal of property pending trial in certain cases
452,Order for disposal of property at conclusion of trial,500,Order for disposal of property at conclusion of trial
453,Payment to innocent purchaser of money found on accused,501,Payment to innocent purchaser of money found on accused
454,Appeal against orders under section 452 or section 453,502,Appeal against orders under section 500 or section 501
455,Destruction of libellous and other matter,503,Destruction of libellous and other matter
456,Power to restore possession of immovable property,504,Power to restore possession of immovable property
457,Procedure by police upon seizure of property,505,Procedure by police upon seizure of property
458,Procedure where no claimant appears within six months,506,Procedure where no claimant appears within six months
459,Power to sell perishable property,507,Power to sell perishable property
460,Irregularities which do not vitiate proceedings,508,Irregularities which do not vitiate proceedings
461,Irregularities which vitiate proceedings,509,Irregularities which vitiate proceedings
462,Proceedings in wrong place,510,Proceedings in wrong place
463,Non-compliance with provisions of section 164 or section 281,511,Non-compliance with provisions of section 183 or section 316
464,"Effect of omission to frame, or absence of, or error in, charge",512,"Effect of omission to frame, or absence of, or error in, charge"
465,"Finding or sentence when reversible by reason of error, omission or irregularity",513,"Finding or sentence when reversible by reason of error, omission or irregularity"
466,Defect or error not to make attachment unlawful,514,Defect or error not to make attachment unlawful
467,Definitions,515,Definitions
468,Bar to taking cognizance after lapse of the period of limitation,516,Bar to taking cognizance after lapse of the period of limitation
469,Commencement of the period of limitation,517,Commencement of the period of limitation
470,Exclusion of time in certain cases,518,Exclusion of time in certain cases
471,Exclusion of date on which Court is closed,519,Exclusion of date on which Court is closed
472,Continuing offence,520,Continuing offence
473,Extension of period of limitation in certain cases,521,Extension of period of limitation in certain cases
474,Trials before High Courts,522,Trials before High Courts
475,Delivery to commanding officers of persons liable to be tried by Court- martial,523,Delivery to commanding officers of persons liable to be tried by Court-martial
476,Forms,524,Forms
477,Power of High Court to make rules,525,Power of High Court to make rules
478,Power to alter functions allotted to Executive Magistrates in certain cases,526,Power to alter functions allocated to Executive Magistrate in certain cases
479,Cases in which Judge or Magistrate is personally interested,527,Case in which Judge or Magistrate is personally interested
480,Practising pleader not to sit as Magistrate in certain Courts,528,Practicing advocate not to sit as Magistrate in certain Courts
481,Public servant concerned in sale not to purchase or bid for property,529,Public servant concerned in sale not to purchase or bid for property
482,Saving of inherent powers of High Court,530,Saving of inherent powers of High Court
483,Duty of High Court to exercise continuous superintendence over Courts of Judicial Magistrates,531,Duty of High Court to exercise continuous superintendence over Courts
484,Repeal and savings,533,Repeal and savings
Schedule I,Classification of offences,,
Schedule II,Forms,,
